Product Name(PN),  Search Result by PN  ,Company Name(CN),Search Result by CN,Designer (D),Search Result by D,Search Result by PN+CN,Search Result by PN only in HK,Search Result by PN only in China,Search Result by PN only in Amazon.com
scott and annie mckinnon ep,94,Scott and Annie McKinnon,332,Scott Alexander Mckinnon,167,631,"7,490","8,340",229
faeries of the forest oracle and playing cards,7,Jessica Feinberg,"43,300",Jessica Feinberg,"43,700","43,000","43,600","101,000",85
flaminko 1 playing cards,253,Nicholas Zeitoun,125,Nicholas Zeitoun,334,528,1,"530,000","38,400"
limpeh says a card game for we the citizens of sin,204,YONG,"36,700,000",N/A Leow Shang Ming Gabriel (Liao Shangming Gabriel),39,"125,000,000",3,193,0
playsmart dice,246,J. Moran,"725,000",James Moran,"327,000","403,000",1,"3,900",98
skid the first wooden chef knife,"16,300",LIGNUM,"3,160,000",Sven Regener,"166,000","5,150,000",1,"34,900","1,600"
loophole the first rubber ring phone grip kickstan,1,"Loophole Innovative Solutions, Inc.",149,Steven Stillwell,"2,980",156,1,"35,600",2
satt ljud pa onkel toms stuga,36,Onkel Tom,"327,000",Anders Stellan Gustafsson,6,"328,000",5,5,0
away from me working title,6,James Hardy,"372,000",James Hardy,"365,000","434,000",1,"3,160,000","65,200"
sundance 2017,"228,000",Jim Cummings,"1,130,000",James Cummings,"247,000","656,000",753,"6,360,000","28,300"
make america kind again,"43,900",Jonathan Calleri,"413,000",Jonathan Calleri,"455,000","507,000",238,"7,440,000","1,560,000"
stitch debut ep a helping hand,8,Stitch,"81,000,000",Nikita Holden,932,"317,000,000","92,200","575,000",9
burrows and badgers new blood anthro animal miniat,117,Oathsworn Miniatures,"31,900",Michael Lovejoy,"84,600","31,100",1,"1,170",0
end of times miniatures range,344,Ian Mountain,"18,700",Ian Mountain,"19,300","19,400","346,000","2,460,000","24,500"
red box games miniatures,"14,800",tre manor,"11,100",(name not available),"708,000","61,800",1,"1,300,000","15,100"
visa playing cards patrick kun x alex pandrea,496,House of Playing Cards,"280,000",Alexander Pandrea,57,"333,000",1,145,5
hellbound a 16mm film,54,ben,"428,000,000",Benjamin Mark Weinstein,10,"1,450,000,000","3,130",118,3
learned it on the radio life lessons in 3 30 minut,6,Joey Clark,"25,500",Joseph Clark,"366,000","212,000","758,000","2,150,000","88,800"
the maverick wallets should hold more than just ca,4,Sebastien Grey,"9,490",Donald Jefferson,"41,500","38,300","14,100","1,640,000",58
rivals masters of the deep,"4,540",Chase Layman,"9,020",timothy Layman,"2,870","3,230",2,"768,000",698
war is coming shieldmaidens vs orcs,231,Shieldwolf Miniatures,"39,900",Marc Specter,"29,500","43,500",2,"22,400",1
a hand in the darkness english spanish yaoi bl vis,118,A Hand in the Darkness,"760,000",Montserrat Latre Sole,"24,700","6,230,000",2,104,3
future bot innovators new robot construction 2016,6,Future Bot Innovators Robotics Team,4,Lorrayne Johnson,"3,550",10,"86,700","118,000",106
spingett spinner fidget paperweight toy,150,Creative Bureau,"89,100",Viktor Bazarov,"2,870","124,000",3,33,0
interment a graveyard photography zine,90,Natalie Blom,"5,900",Natalie Marie Blom,2,"1,910","88,900","444,000",1
hammerhead stainless steel spinner,62,Tyler Crozier,"1,720",Tyler Crozier,735,737,1,"4,930",113
vectorquilts by david gilleland,9,David Gilleland,"11,700",David Gilleland,"4,550","4,520",6,7,0
twilight of the gods age of revelation,"5,740",Victory Point Games,"180,000",Alan Emrich,"94,500","196,000",3,"474,000",468
the new arcana,"8,680",Debbie Fong,"18,900",Deborah Fong,"2,350","47,800",8,"103,000","35,500"
falkland islands photographic residency feb march,84,Andrea Carroll,"41,300",Andrea Carroll,"185,000","184,000","512,000","367,000",25
towar build improve and defend a tower in another,66,Cerberus Interactive,"6,600",Tawsif Khan,"2,990","1,280",2,"150,000",973
mysight360 worlds first wearable vr camera for hik,574,MySight360,"34,400",Brandon Kudrow,189,"34,800",1,72,3
kirsten maxwell records new music,57,Kirsten Maxwell,"17,100",Kirsten Freiman,209,"112,000",1,"1,330,000",247
mini ellipse high fidelity sound in the palm of yo,4,Gren iMedia,333,Shao Liu,"75,600","1,160",38,57,0
fold the best slim wallet with a few suprises,5,Corkaw Studio,118,Antoine Remi Deblay,6,"1,170","31,300","83,200","3,490"
astropibox,"2,130",Clear Sky Lab,412,Sebastien Cyrille Vauclair,10,"1,200",1,6,0
netherbird svensk javla svarta,6,Johan Nephente Fridell,152,Lars Johan Marcus Fridell,23,451,5,3,0
arizona mexico border town mural project,118,Harriet Wood,"28,100",Harriet Meriel Wood,"165,000","90,000",1,"82,200",10
nekopara anime ova,"19,900",sekaiproject,"36,400",Raymond Qian,"1,240","163,000",27,"1,510",3
anywhere fridge solar portable transforming fridge,160,Spencer Trotter,"9,110",Spencer Trotter,"2,840","2,950","19,700","448,000","1,010"
tom hummer dystopian blues vinyl pre order,4,Tom Hummer,"9,240",Thomas Hummer,"6,050","3,390",43,"26,300",2
eye3,"201,000",Kellie Sigler,440,(name not available),"708,000","326,000",319,"41,200",79
azimuth climate data backup project,229,John Baez,"79,600",John Baez,"94,500","94,800",7,"4,480",0
sandshark universe sketchbook and history 2002 201,5,Dan Nokes,"13,100",Dan Nokes,"13,800","14,300",5,147,0
space madness enamel pin,5,Pop Liturgy,245,Lucas Gluesenkamp,803,"2,920",6,"42,600",8
toothville,"10,100",Swamp Line Productions,313,Kim Roberts,"338,000","27,900",26,42,8
glxy bracelet,153,Nicolae Kuntschik,6,Nicolae Valentin Kuntschik,"5,320",193,517,"661,000","98,800"
lyonesse making short fiction great again,7,Russell Newquist,"35,300",Russell Newquist,"36,100","34,300","1,230","9,180",64
the game of life challenges,"73,500",Leoprism,"1,150",Jose Angel Rodriguez,"173,000","74,400",3,"38,600,000","436,000"
no problem to make a film about jacques houot the,5,Michelle Smith,"1,580,000",Michelle Smith,"1,310,000","515,000",1,52,0
kirk lindos vamperotica magazine collection v1 v4,3,Vamperotica,"21,500",Kirk Harvey Lindo,5,"138,000",8,15,3
somnova the worlds first best super smart sleep ma,9,SOMNOVA,"9,700",Kin Yip Yuen,753,"3,280",1,9,0
sirens deck ocm playing cards,9,Jianhao Cai,267,jianhao cai,837,827,"73,200","140,000",932
the worlds first custom height insole,2,Jay and Cody,"40,500",Jay Minh Ung,4,"41,000","156,000","669,000",288
the wastelanders 2048,209,Andrew (deleted),"18,900",Andrew Cox,"250,000","7,280",3,764,0
not without you anthology,478,Daybreak Press,"29,100",Lindsay Smith,"345,000","31,400",1,"217,000","28,600"
dragons bard,"8,370",Albino Dragon,"102,000",(name not available),"708,000","123,000",67,"567,000","3,760"
brenda xus new album overflow and music video proj,5,Brenda Xu,"6,240",Brenda Xu,"7,060","21,400",1,8,0
lancement dune marque urbaine launch of an urban b,3,Fanny et Yassin,5,Fanny Chiecchio,450,8,25,"55,700",0
cobba the worlds first non stop shorts featuring a,504,Cobba,"180,000",Rannulu Janak Chandika De Zoysa,7,"212,000","42,200","471,000","1,940"
its time to amend your morning routine,9,Ben Milgrom,488,Ben Milgrom,"1,040","1,710","2,460,000","67,300",146
gotube the worlds most portable electric scooter,320,GoTube,"641,000",Ji Chen,"188,000","626,000",3,295,24
worship music and gods mission to the nations,5,Ryan and Melanie Johnson,191,Ryan Johnson,"453,000",389,1,"1,270,000","4,080"
zipsloth the worlds laziest hoodie,6,Rhyme Combinator,181,William Lewis,"443,000",479,1,2,0
introducing vandra the worlds safest backpack,114,Vandra the smart backpack your Squire,264,Gustaf Casten Bergendal,45,845,2,"3,490",0
wayward a hunters board game,3,Harmonious Duck,168,Kirk John Blackburn,531,642,"15,500","63,800",683
metamotion 10 axis imu dev board w wireless sensor,510,MetaWear,"13,800",Laura Kassovic,608,"73,400",1,6,0
its a ficklin kinda day the album,3,Joe Kalhor,154,Joe Kalhor,365,359,25,"1,700",90
tk worlds first stainless vacuum insulated cycling,"5,330",Travel Kuppe Company,341,David Lok,"137,000","5,260",9,"11,400",48
fall schematic,"8,950",Drawn By Clouds,"869,000",(name not available),"708,000","535,000",7,"11,800,000","18,800"
stephen vollaros eagle scout project southington c,3,Steve Vollaro,134,John Vollaro,"1,350",139,21,56,0
fravel the worlds cutest suitcase,143,Aili Jian,"4,190",Aili Jian,"1,430","4,570","449,000","1,430,000","42,000"
things i need to say album,9,Jeremy M Parsons,"2,660",Jeremy Parsons,"72,000","3,560","220,000","4,260,000","5,010,000"
everette hartsoes hell riot 0 zombie hunter x edit,2,RED PILL PUBLISHING,"4,460",Everette Hartsoe,"150,000",739,8,"2,370",0
dot worlds smallest bluetooth headset,447,Ivan Kan,"7,920",Ivan Kan,"11,400","26,700","80,700","1,230,000","24,400,000"
arduino raspberry pi prototype i o card,5,Doug Gilliland,"8,300",Douglas Gilliland,"39,900","3,950","26,500","51,700","1,490"
make 100 limited edition rare mystical alphonse mu,3,Thomas Negovan,"7,320",Thomas Negovan,"30,300","30,200","2,740","217,000",145
iclip the worlds most ultimate magnetic wire organ,263,INVENT Lab,"4,460",Irina Spotar,535,"1,690",7,"386,000",22
bryan james debut album,8,Bryan James,"455,000",Bryan Henderson,"156,000","350,000",1,"1,170,000","5,890"
knowhere coffee comics and games post falls shop,7,Nic Buchan,639,Logan Knight,"119,000","3,460",2,"171,000",830
see think do the natural eye photo cards,121,Eddie Soloway,"19,300",Eddie Soloway,"19,900","19,800","1,050,000","16,000,000","182,000"
vacuumclickatm the worlds best portable vacuum gad,34,VacuumClicka,"3,990",Rick Louie,"35,200","3,890",5,5,0
frankly benjamins debut ep,9,Frankly Benjamin,"10,100",Caitlin Cook,"66,100","2,190","56,900","510,000",149
ikeybo worlds most advanced projection keyboard an,256,Serafim,"8,040,000",Matthew Tso,"11,500","8,440,000",1,"1,230",2
tabletopcork irelands first late night board game,104,tabletopCork,"1,830",Chris Heinhold,768,"35,800",0,10,4
harlem unbound a cthulhu roleplaying game sourcebo,284,"Chris Spivey, Darker Hue Studios",503,Chris  Spivey,"121,000",530,1,"19,700",3
cronovo inc,"2,950",Cronovo Inc,"2,850",Darin Jose Philip,5,910,7,"1,320",9
usbidi the worlds most intelligent charger ever,205,UsBidi Charger,"2,610",Xiaowu Yan,563,"3,480",2,"5,870",3
kurt schulers first studio album,4,Kurt Schuler,"14,300",Kurt Schuler,"51,400","51,300","6,710","179,000",26
make 100 eve by gail potocki signed and numbered a,7,Gail Potocki,"31,100",Gail Potocki,"28,700","29,400",18,"17,700",0
moji heated roller youll never use a foam roller a,8,Moji,"37,100,000",Victor Viner,"1,090","37,300,000",1,4,22
riley ann lets build an album together,1,Riley Ann,"107,000",Riley Schultz,"15,900","112,000","216,000","769,000","6,120"
double sapphires elite screen protectors,70,Double Sapphires LLC,47,JORGE TORRES,"486,000",116,"32,400","230,000","5,920"
cardiff met product design 2017 show,6,Product Design,"56,400,000",William Thomas,"390,000","66,400,000","63,200","142,000",80
a conversation with samael,191,Matt Houk,"5,270",Matt Houk,"2,050","2,220",159,"23,200",78
keypad keyboard protection for 13 and 15 macbook p,2,Keypad,"17,100,000",John Robert Stanyon,52,"55,100,000",1,"1,180,000","31,700"
do you razor head shave a fresh finish experience,7,David Lam,"224,000",David Lam,"319,000","356,000","48,200","324,000","14,700"
aerospace grade pyramids copper and tungsten,4,Impact Metals,"9,290",Jaime Raijman,"3,080","26,800","1,870","60,600",3
keygogotm a new spin on the key ring g5 ti multi t,5,Creative TV llc,"3,310",Craig Efstratis,414,"3,310",5,5,3
womens march on washington protest posters,6,ThoughtMatter,"9,230",Thomas Jaffe,"3,940","74,100","207,000","580,000","2,280"
the folio 12 and 13 taux trilogy completion,48,Scott Taylor,"1,270,000",Roger Scott Taylor,941,"515,000",9,18,0
vital backpack,"2,230",Vital Bags,"1,970",(name not available),"710,000","1,450",3,"588,000","6,260"
automated comfort linq smart vents,209,Linq Home (deleted),8,Carter James Smith,"7,490",198,9,"14,400",0
coinsol a wallet with unlimited card slots,162,Chan Sing,"94,100",Sing Chan,"195,000","91,900",1,"54,600","5,340"
its you,"6,580,000",His Own,"345,000,000",Kara Klein,"55,100","346,000,000","59,300","47,600,000","1,800,000"
smut peddler presents the dinah might enamel pin,108,IronSpike,"63,600",Charlie Trotman,"3,240","64,000",2,6,0
nimbus 20 the worlds first smart towel rack,28,Nimbus,"25,500,000",Tao Wei,"120,000","25,400,000",785,"46,500",7
crush your new years resolution and learn to code,2,John Bura,"72,900",John Bura,"72,800","72,400",1,"1,070,000",767
the salty soldier website and mobile app iphone an,4,The Salty Soldier,"226,000",Forrest Munden,"2,740","223,000","8,650","42,900",27
grinningremnants first playmat,7,Alex Goodman,"150,000",Alex Goodman,"150,000","149,000",5,5,0
questions to know you card game with 250 question,4,Melissa Goudie Park,540,Melissa Goudie Park,539,529,"61,700","656,000","1,160,000"
duck rings advanced gym rings for climbers,118,tindeq,"2,330",JØrgen Blindheim,0,"2,200",2,"27,000","1,070"
cube in cube in oligodynamic brass,122,Ben Leung,"87,300",Chung Yin Leung,"3,110","85,900",7,752,5
tiny tops 20 micro spinning tops,6,Lance,"224,000,000",Lance Barnett,"24,000","224,000,000","131,000","629,000",208
really minimalistic leather wallet and stylish lea,8,Andrew Litvin,"13,900",Andrii Holub,343,"14,500","162,000","687,000","2,580"
cycling wear for women by women,268,Redfrog Athletics,489,Jaimee Erickson,"1,810",733,1,"1,480,000","3,320,000"
girrion book 1 the chrysalis and the stone issue 6,108,Tom Lintern,"81,800",Tom  Lintern,"82,000","81,700",1,842,0
indie microblogging owning your short form writing,285,Manton Reece,"26,400",Manton Reece,"26,400","26,700",9,"38,300",46
intelligent security camera cover webcam privacy c,183,Intelligent Security,"8,260,000",Laurent Paul Etienne,"1,270","8,850,000",7,"80,900","20,200"
intrepid fools the murderous philanthropist of cro,2,Rebecca King,"271,000",Rebecca Lily King,6,"270,000","12,100",19,0
the loneliest lp,79,Mike Ambs,"167,000",Mike Ambs,"169,000","171,000",4,"54,600",766
atos arm rest table with phone and tablet stand,84,Alessio Rocchi,"42,300",Alessio Rocchi,"42,300","42,200",445,"1,570",8
bad applestm the highly offensive unofficial expan,3,Bad Apples™,"29,500,000",corey taylor,"460,000",0,5,"65,800",0
the star on the shore a call of cthulhu rpg module,215,Dark Cult Games,837,Benny Clarance Burns,34,"3,690",1,"2,190,000",8
atlas time co a new generation of contemporary wat,141,WARLD,"1,660,000",Danny Tran,"186,000","1,660,000",1,"740,000","1,050"
heartbreak hits theo katzmans second lp,99,Theo Katzman,"129,000",Theodore Katzman,175,"122,000",10,"4,490",1
aphroadonis custom made luxury leather bags,183,AphroAdonis,"3,400",Nikhil Arora,"72,800","3,350",2,16,0
helloear arc the worlds most comfortable custom ea,127,HelloEar,"199,000",Yuepeng Li,"1,220","198,000",1,121,0
speedx unicorn smart road bike with built in power,261,SpeedX,"773,000",Qing Shan Wang,"14,200","764,000",2,"64,600",166
spyn decision making made fun,"8,710",Dave & Calvin Laituri,"451,000,000",David Laituri,"3,050","1,690",1,"1,410,000",3
tao long,"121,000",Gonzalo Aguirre Bisi,"2,720",Gonzalo Aguirre Bisi,"2,710","148,000",573,"4,010,000","30,100"
vegan dinner,"1,600,000",Katherine Pan,"27,100",Katherine Pan,"26,900","1,030,000","3,470","2,780,000","24,600"
a paintbrush unfold ep debut by liselotte ostblom,56,Liselotte Östblom,1,Liselotte Östblom,1,50,1,6,0
get 2 great games and help save crash games,10,Crash Games,"211,000",Patrick Nickell,"11,200","210,000","447,000","5,540,000","167,000"
wild times an oral history of wildstorm studios,599,Joseph Hedges,"35,900",Joseph Hedges,"35,800","36,600",2,574,3
high fantasy herps artist enamel pins,99,Ainsley Yeager,"13,300",Ainsley Yeager,"1,620","1,630","2,970","82,500",1
akita wireless headphones the ultimate sensational,6,Soha Salem (deleted),"17,000",Soha Salem,"5,990",8,6,"4,750",30
yia the autobiography of fish as told to charles h,3,Peter Hoang,"42,700",Peter Hoang,"253,000","252,000","6,520","14,700",10
make 100 alcohol ink paintings,142,Gina Rivara,494,Gina Rivara,"1,140","1,140","163,000","3,030,000","13,600"
lapmonitor multi user lap timing and counting syst,103,GY FX,"19,000",Franck Pierre Marcel Geay,"29,900","66,900",1,142,2
moneymalisttm the business wallet,6,Renkel Design UG (haftungsbeschränkt),4,Daniel Renkel,"2,290",6,1,5,0
make100 skt ceramics caribou mug,48,Susannah Tisue,"26,700",Susannah Tisue,"25,300","5,090",2,5,0
vault magnetic pedals maglock bike pedal,134,MagLOCK Bike Pedal,"2,390",David Williams,"2,570,000","2,380",1,77,0
introducing nexxbar a revolution in self therapy,96,NEXX Designs,"1,100",Ross O'Keefe,"10,200","1,110",1,6,0
littlearm 2c mini arduino robot arm for stem and h,57,Slant Robotics,"1,450",Gabriel Bentz,349,"1,450",1,39,2
invisible courts,267,Yancey Strickler,"143,000",Yancey Strickler,"29,500","144,000","130,000","667,000","1,100"
daebak wallet the best cash friendly minimalist wa,2,Artitude Initiative,876,Mahesh Rameshan,434,869,5,5,0
steadicam volt smartphone stabilizer shake free vi,401,The Tiffen Company,"141,000",Steven  Tiffen,"1,250","138,000",7,"2,780",16
eaglebreaker the tale of eaglefriendbook 2,5,Charles Murray,"456,000",Charles Laurence Murray,111,"457,000",0,1,0
wallet buddy the ss multi tool that fits in your w,10,Brian Meyers Jr.,"5,210",Brian Michael Meyers Jr,1,"1,320",1,"84,600",75
be seduced by this western wooden marble maze,68,Todd Blatt,"22,300",Todd Blatt,"22,200","22,000",1,"87,600",10
the classic look smart watches own your memories n,98,Siub,"333,000",Ho Kei Wu,145,"324,000","338,000","6,610,000","24,400"
mirro the tissue box between illusion and reality,80,mordeco,"14,900",GEORGE JACOME,"1,320","14,800","2,920","34,800",509
whats your beef stick,2,Janet Willkomm,612,Janet Willkomm,593,"1,120","335,000","987,000","79,000"
pocketpower a solar charger fits in your pocket,405,Flextech Solar gadgets,"2,500",Lillian Wang,"56,300","4,360",431,"4,800",687
the grypmat the worlds most versatile tool mat,123,Tom Burden,"60,900",Tom Burden,"60,800","60,400",3,100,1
industrial chalk bags a work bag inspired by the o,6,Lindsey Bryant,"54,100",Lindsey Bryant,"53,900","53,600",1,"1,010,000","2,550"
catspad the best smart food and water dispenser fo,350,Julie Leleu,"3,020",Julie Mylene Leleu,"103,000","7,930",1,26,20
hexpanse,"21,000",Korona Games,"42,700",Rudolf Nagy,"20,700","60,500",22,136,0
valley of kildar for 5th edition and other rpg gam,107,Daniel Despres,"2,890",Daniel Després,"125,000","2,790",0,"44,700",1
shintiara rpg a world of magic and time paradoxes,212,Giovanni Maurizio Ali Pola,"1,390",Giovanni Maurizio Ali Pola,514,"1,730",1,74,0
100 kickstarter dreams the voice of 100 creators,9,William Burgos,"40,700",William Eduardo Burgos Mendiola,5,"40,200","16,000","121,000",152
myth dark frontier,"6,980",MERCS Miniatures,"67,600",Brian Shotton,"255,000","69,500",7,"107,000","1,680"
grrrabbit the sighthound themed card game,3,James Pollitt,"7,070",James Pollitt,"16,400","7,030",5,7,0
magnetic magnificent handmade pens,46,Joel Lockridge,"1,150",Joel Lockridge,"5,230","1,130",1,"249,000",78
pre order frankenstein created bikers,144,James Bickert,"78,100",James Bickert,"78,000","78,600","48,500","134,000",540
yakuza 893 comicbook,329,Kelly Bender,"62,200",Kelly Bender,"62,000","62,000",44,"39,700",2
the penned guin treasury edition,122,Alan Henderson,"183,000",Alan George Henderson,899,"181,000",565,"83,100",60
100 flower paintings,905,Katherine Pan,"27,100",Katherine Pan,"26,900","31,600","440,000","7,050,000","43,800"
lets have better conversations about belief,2,Ryan Sanders,"132,000",Ryan Sanders,"132,000","133,000","210,000","15,300,000","18,700"
dunce 1 special limited edition,443,Jens K Styve,"24,900",Jens K Styve,"24,900","24,800","1,680,000","67,900","1,600"
qkey a smart simple and secure online experience,322,Qkey,"108,000",Brandon Maus,"2,040","106,000",1,"2,880,000","1,730,000"
blackout journey into darkness,"4,260",Richard T. Broadwater,"1,340",Richard Broadwater,"3,280","1,950",8,"669,000",361
pigsmoke a roleplaying game of sorcerous academia,412,Chris Longhurst,"135,000",Christopher Longhurst,"4,230","133,000",2,21,0
ethos the hoodie reinvented,92,Treya Klassen Director Product & Brand,958,Carla Leone,"90,300",7,1,"1,390",3
spheres of might a new pathfinder martial system,641,Adam Meyers,"56,300",Adam Jared Meyers,178,"56,900","2,720","3,120,000",8
the foothill dragon press first ever magazine,7,Sabrena Rodriguez,"1,100",Sabrena Rodriguez,"1,080","1,060","6,290","233,000",2
inirv react make your home smarter and safer,"2,410",Inirv,"49,300",Akshita Iyer,"1,630","49,000",3,451,0
x 01 titanium pen,371,namisu,"42,500",Adrien Cols,486,"45,400","32,200","337,000","12,700"
patches for the four horsemen universe and other b,4,Joy Wandrey,"1,830",Joy Wandrey,"1,810","1,800","31,000","146,000",18
gileadi dance co,385,Gileadi Dance Co.,828,Miriam Gileadi,317,382,5,8,1
the great american farm tour,"32,100",Justin Rhodes,"226,000",Justin Rhodes,"225,000","228,000",9,"2,450,000","17,600"
ufd unidentified flying dog enamel pin,8,Nina Boyce,"1,450",Christina Marie Boyce,814,"1,390",1,6,0
kyle evans advaitin full length debut album 0,27,Advaitin   Kyle Evans,197,Kyle Andrew Evans,"1,390",198,6,"2,360",1
hexoroll dice redesigning the way you roll a dice,82,MoonMARES,"1,190",Yu Kit Fan,156,"1,170",5,5,0
mixstik the magic stick to mix perfect cocktails,228,Magnified Self,"22,800",Ariel Vardi,"1,900","23,000",5,6,0
100 dropped pendant lights,117,cw&t,"252,000,000",che wang,"183,000",59,"132,000","6,110,000","7,620"
clovertons second full length album,70,Cloverton,"200,000",Lance Stafford,"4,260","198,000",9,"15,000",7
100 watercolor indigo birds,6,AlexHubbell,"1,050",Alex Hubbell,"99,500","1,020","62,700","1,890,000",752
calamityware series 1 revisited,195,Don Moyer,"271,000",Don Moyer,"268,000","264,000",2,8,0
everyday birthday,"71,300",victoria rogers,"376,000",victoria rogers,"375,000","165,000",193,"7,940,000","536,000"
day of the dead music calaveras vinyl stickers,6,Jose Pulido,"224,000",Jose Pulido,"223,000","223,000","18,400","81,400",298
parashoot 20 multi use wearable smart hd camera,29,Matt and Colin,"50,800",(name not available),"710,000","55,700","186,000","281,000","19,800"
smart protektor,"2,100",Sebastian Wagner Z.,67,Jorge Wagner,"114,000","2,030","36,700","17,300",879
inventors positioning axis 8 micron accuracy,4,Michele and Jim Gray,394,(name not available),"710,000",400,255,"3,210,000",5
oracles crest tarot enamel pin collection,10,Mildred Louis,"968,000",Mildred Louis,"968,000","982,000",6,"4,350",1
lets make 1000 finger puppets,4,Amanda B,"522,000",amanda bouchie,719,"499,000","125,000","57,000","1,010"
insanity 3,"79,100",Tyler King (deleted),7,Tyler Dennis King,115,"87,000",101,"2,150,000","80,000"
evie blender the worlds first perfect makeup blend,246,Angie Johnson,"163,000",Angela Johnson,"390,000","163,000",1,7,5
vanguard of war archon studio,"4,070",Load Board Game,"30,900",Christopher Birkenhagen,81,"30,700",1,"20,300",0
monkey the roleplaying game of the journey to the,136,Newt Newport,"7,350",Paul Newport,"74,400","37,700",1,"305,000",113
refyne p1 the first modular titanium edc pen and f,945,REFYNE,"115,000",Justin Zito,"10,600","112,000",2,"7,550",0
day night z,"11,000",Creating Games,"408,000",Carlos Alberto Gomez Medina,"3,690","407,000",27,"5,930,000","6,280,000"
sub terra a cooperative survival horror game for 1,"6,230",Inside the Box Board Games,"628,000",Peter David Robert Blenkharn,16,"582,000",8,"267,000",14
adaptalux studio stabiliser,102,Adaptalux Ltd,"5,070",Samuel Granger,"5,260","5,150",7,604,0
khan of khans family game,261,Chaosium Inc.,"183,000",Richard Meints,959,"182,000",3,"182,000","3,850"
x flex belt most comfortable belt ever,215,Simple Design,"23,100,000",victor hung,"30,400","22,500,000",4,"284,000","9,170"
orbi kitchen gadget for perfect golden egg,122,Orbi,"9,720,000",Ting Wang,"398,000","9,710,000",10,8,195
rise of the beasts series 1,211,Jon Karis,656,(name not available),"710,000",823,1,"401,000","9,800"
forgotten corpses canadian horror web series,101,Megan & Caine,"279,000,000",Caine Chow,"2,060",67,1,"331,000",746
companion short film,"15,600",Chris Rodgers,"84,000",Chris Rodgers,"83,600","87,600",156,"623,000","110,000"
resisters a coloring book,237,Bethany Roberts,"231,000",Bethany Roberts,"229,000","228,000","47,700",5,116
slow color a practical guide to natural dyeing in,338,Tinderbox Editions,"2,190",Molly Sutton Kiefer,"2,450","4,840",1,"428,000",238
under an arctic sky film,"2,610",Chris Burkard,"527,000",Chris Burkard,"523,000","527,000",5,"2,340,000","6,730"
the outside children los ninos exteriores,306,Anneke Paterson,"1,830",Anneke Paterson,"1,820","1,820",2,"494,000",119
new movie the sky has fallen horror film with no c,7,Doug Roos,"3,050",Douglas Roos,"37,500","2,940",1,"683,000","6,710"
beeeees,"21,700",Action Phase Games,"73,300",Travis Worthington,"17,700","96,700",48,"16,100",23
cats kill movie,442,Alex Cherney,"106,000",Alexander Rey Cherney,"155,000","107,000",2,"1,220,000","27,200"
power plant organic eggplant jerky,281,Paul Sprangers,"4,760",Paul Sprangers,"14,500","5,040","3,270","474,000",321
basic and advanced breakout boards plus more,57,Frank Fox,"197,000",Frank Fox,"197,000","196,000","172,000","130,000",786
procyon podcast network fun diverse genre fiction,249,Procyon Podcast Network,"44,400",Phoebe Seiders,550,"45,400",1,"7,580",1
clash of steel a tactical card game of medieval du,423,Sigil Stone Publishing,"17,000",Ben Dutter,"1,920","1,930","2,380","400,000",42
eat offbeat the cookbook,"10,900",Eat Offbeat,"34,500",Manal Kahi,"2,650","34,200",124,"90,800",188
bingo love,"80,200",Inclusive Press,"20,600",Tashia L Franklin,143,"86,200",80,"930,000","38,600"
mars wars,"16,600",Worthington Publishing,"109,000",Grant Wylie,"31,700","119,000",32,"935,000","182,000"
878 vikings invasions of england,"9,200",Academy Games,"421,000",Uwe D Eickert,71,"420,000",61,"128,000",134
the last garden robotanists in the post apocalypse,126,Chris Rowlands,"102,000",Christopher Rowlands,"8,180","98,300",2,92,0
cytosis a cell biology board game,"9,350",John Coveyou (Genius Games),"1,900",John Coveyou,"254,000","4,210",18,"21,900",49
pick your path action packed micro gaming booklets,132,Word Nerd Games,"2,890",Daniel James Metcalf,680,"2,870",1,"801,000",115
the grimm forest,"32,300",Druid City Games,"43,000",James  Hudson,"371,000","66,200",324,"250,000","9,520"
cauldron master a deduction and set collection wit,204,Caezar and Kuly from Alley Cat Games,468,Caezar Al Jassar,"1,430","3,440",1,"91,300",32
toucan play that game season 2,185,Michael,"2,260,000,000",Michael John May,"9,210","2,260,000,000","14,800","50,200","5,760"
the private artistbooks of michael rytz,96,Limited Works,"115,000",Morten Halborg Moeller,"1,160","114,000",1,242,0
kings road,"2,690,000",Grail Games,"87,900",David Harding,"233,000","445,000","32,100","3,230,000","14,800"
ultralight electric guitar,789,Michael Kelly Guitars,"64,300",Tracy Hoeft,"1,740","213,000",2,"52,800",765
snapmaker the all metal 3d printer,"16,400",Snapmaker,"56,000",Jie Wei,"223,000","55,500",5,"3,110",21
z war one,"9,630",Dice Sports,"12,700",Robert Butler,"381,000","23,200",8,"12,300,000","24,700"
mister mushy nor mister mjukis childrens book,6,Aleksander L. Nordaas,"3,340",Aleksander L Nordas,"3,320","8,640",0,8,0
stereoscope magazine,"2,880",stereoscope magazine,"3,010",Lallie Victoria Doyle,2,"1,180",3,"278,000",522
mounk underwear that looks good and feels good,110,MounK,"161,000",Nejdeh Ghazarian,221,"186,000",1,"495,000","1,830"
the lady and the tiger a 2 player bluffing game,412,Blue Beard Entertainment,"1,020",Paul Bender,"83,600","1,070","21,400","53,500",114
unlocked the mansion of mana,385,Sean Howard,"343,000",Sean Howard,"345,000","444,000",1,"674,000",15
lisa frank makeup collaboration,"10,200",Glamour Dolls Makeup,"66,100",Peter Georgotas,592,"66,500",4,"461,000",25
